Tempat Wisata,Kabupaten,Rating,Jumlah Review,Jarak dari Bandara (km),Kondisi Jalan,Parkir,Kenyamanan,Harga Tiket,Fasilitas
Tanah Lot,Tabanan,4.5,1319,40,Baik,Ada,Tinggi,100000,Lengkap
Uluwatu Temple,Badung,4.6,18370,16,Sangat Baik,Luas,Tinggi,10000,Lengkap
Kuta Beach,Badung,4.3,17059,82,Baik,Terbatas,Tinggi,100000,Baik
Sanur Beach,Denpasar,4.6,14246,33,Sedang,Terbatas,Sedang,10000,Lengkap
Tegallalang Rice Terrace,Gianyar,4.6,11649,40,Baik,Ada,Sedang,10000,Lengkap
Ulun Danu Beratan,Tabanan,4.4,12263,49,Sangat Baik,Luas,Tinggi,100000,Cukup
Seminyak Beach,Badung,4.5,12903,15,Sangat Baik,Luas,Sedang,75000,Lengkap
Nusa Dua Beach,Badung,4.6,2001,89,Baik,Luas,Tinggi,15000,Lengkap
Monkey Forest Ubud,Gianyar,4.4,15357,86,Sedang,Ada,Sedang,25000,Lengkap
Bali Safari Park,Gianyar,4.6,23497,92,Sangat Baik,Ada,Tinggi,75000,Baik
Lovina Beach,Buleleng,4.3,15647,53,Sedang,Terbatas,Tinggi,100000,Cukup
Gitgit Waterfall,Buleleng,4.7,2332,34,Baik,Luas,Sedang,25000,Lengkap
Besakih Temple,Karangasem,4.2,19085,45,Baik,Terbatas,Sedang,50000,Baik
Lempuyang Temple,Karangasem,4.4,9179,22,Baik,Terbatas,Sedang,100000,Baik
Tirta Empul,Gianyar,4.4,19621,56,Sedang,Ada,Tinggi,75000,Cukup
Jatiluwih Rice Terrace,Tabanan,4.2,2043,19,Baik,Terbatas,Tinggi,100000,Cukup
Pandawa Beach,Badung,4.5,13108,53,Sangat Baik,Luas,Sedang,75000,Lengkap
Melasti Beach,Badung,4.6,4253,92,Sangat Baik,Luas,Sedang,10000,Cukup
Amed Beach,Karangasem,4.4,15367,5,Sangat Baik,Terbatas,Sedang,75000,Lengkap
Goa Gajah,Gianyar,4.5,3986,85,Sedang,Terbatas,Tinggi,15000,Cukup
