No,Tempat Wisata,Kabupaten,Parkir,Toilet,Tempat Ibadah,Restoran/Kafe,Hotel Sekitar,ATM,Pusat Oleh-Oleh,WiFi,Transportasi Umum,Fasilitas Score
1,Tanah Lot,Tabanan,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,9
2,Uluwatu Temple,Badung,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,9
3,Kuta Beach,Badung,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,9
4,Sanur Beach,Denpasar,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,9
5,Tegallalang Rice Terrace,Gianyar,Ada,Ada,Tidak,Ada,Ada,Tidak,Ada,Ada,Tidak,6
6,Ulun Danu Beratan,Tabanan,Ada,Ada,Ada,Ada,Ada,Tidak,Ada,Ada,Tidak,7
7,Seminyak Beach,Badung,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,9
8,Nusa Dua Beach,Badung,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,9
9,Monkey Forest Ubud,Gianyar,Ada,Ada,Tidak,Ada,Ada,Ada,Ada,Ada,Tidak,7
10,Bali Safari Park,Gianyar,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,9
